Var1,Var2_1,Var2_2,Var2_3
350,0.0045049,0.004543427,0.004488512
351,0.004639176,0.004648179,0.004608209
352,0.004766073,0.004777288,0.004735836
353,0.004884238,0.004900402,0.004855734
354,0.004990191,0.005010346,0.004961884
355,0.005096982,0.005109631,0.005077962
356,0.005208093,0.005205629,0.00520482
357,0.005318255,0.005292657,0.005303562
358,0.00542509,0.00537653,0.005403178
359,0.005512272,0.005444074,0.00549364
360,0.005574552,0.005525656,0.005560605
361,0.005629016,0.005610175,0.005617301
362,0.005710024,0.005685452,0.005675809
363,0.005781231,0.005755814,0.005733867
364,0.005839956,0.005820289,0.005791895
365,0.005905369,0.005863145,0.005849577
366,0.00597455,0.005905212,0.005906827
367,0.006063905,0.005968961,0.00597256
368,0.006137789,0.006045236,0.006050367
369,0.00619768,0.006134548,0.006140796
370,0.006280934,0.006212298,0.006225061
371,0.006366215,0.006292333,0.006307556
372,0.006452573,0.006383065,0.006389786
373,0.006532901,0.006465853,0.006462648
374,0.006612426,0.006547154,0.006533008
375,0.006654781,0.006595576,0.006566023
376,0.006678941,0.006618311,0.006593229
377,0.006678935,0.006606904,0.006612554
378,0.006720623,0.006645992,0.006649314
379,0.006774166,0.006696145,0.006694612
380,0.006841315,0.006748546,0.006761663
381,0.006931601,0.006825268,0.006837027
382,0.007052888,0.006933493,0.006925911
383,0.007146138,0.007026924,0.007019245
384,0.007219161,0.007104641,0.007098347
385,0.007239493,0.007135242,0.007128071
386,0.007267618,0.007154069,0.00715649
387,0.007298473,0.007168028,0.007183999
388,0.007306328,0.007188498,0.007215329
389,0.007306932,0.007200491,0.007226047
390,0.007298138,0.007201273,0.007209387
391,0.007332694,0.007238122,0.007240621
392,0.007387792,0.007290895,0.007291542
393,0.007491481,0.007379329,0.007382538
394,0.007532123,0.007408069,0.007407344
395,0.007526018,0.007393652,0.007384993
396,0.007545508,0.007403576,0.00739565
397,0.007531437,0.007386744,0.007380868
398,0.007451907,0.007318144,0.007316852
399,0.00738796,0.007253607,0.007252702
400,0.007339037,0.007200273,0.007200014
401,0.007300546,0.007157138,0.007171447
402,0.007268047,0.007126206,0.007145446
403,0.007238842,0.007104217,0.007120046
404,0.007216843,0.007082606,0.007093376
405,0.007197031,0.00705914,0.007069849
406,0.007180425,0.007031081,0.00705388
407,0.0071545,0.007008231,0.007025199
408,0.007123053,0.006989402,0.006988783
409,0.007090715,0.006964594,0.006960692
410,0.007062419,0.00693647,0.006935962
411,0.00704014,0.006903625,0.006916246
412,0.007011804,0.006877264,0.006889271
413,0.006984491,0.006853426,0.00686286
414,0.006963697,0.006830362,0.006842488
415,0.006942952,0.006807423,0.006825359
416,0.006922276,0.006784613,0.006810383
417,0.006908963,0.006775156,0.006796222
418,0.006893892,0.0067608,0.006780828
419,0.006876286,0.006739137,0.006763684
420,0.006852225,0.006716533,0.006736239
421,0.006826941,0.006694099,0.006706603
422,0.006802275,0.006672637,0.006677159
423,0.006776662,0.006645203,0.006647817
424,0.006750029,0.006611685,0.006618506
425,0.006719638,0.006587716,0.006591936
426,0.006693148,0.006565553,0.006568282
427,0.006676903,0.006545112,0.006550807
428,0.00666863,0.006533856,0.006540043
429,0.00666377,0.006525992,0.006531913
430,0.006662453,0.006516846,0.006525694
431,0.006630608,0.0064836,0.006493155
432,0.006572208,0.006430268,0.006438231
433,0.006518206,0.00638055,0.00638981
434,0.006466203,0.006331309,0.006343305
435,0.006412927,0.006277949,0.006295341
436,0.006357903,0.006224951,0.006241038
437,0.006304771,0.006174148,0.006187077
438,0.006262829,0.006130116,0.006147185
439,0.006211824,0.006078371,0.00609835
440,0.0061532,0.006020346,0.006041945
441,0.006085117,0.005955538,0.005979784
442,0.006022183,0.005895512,0.005921026
443,0.005968577,0.005843566,0.005867183
444,0.005920067,0.005793813,0.005817291
445,0.005872761,0.005744581,0.005768238
446,0.00581806,0.005692523,0.005712733
447,0.005755084,0.005631342,0.005652736
448,0.005685409,0.005562603,0.005589624
449,0.005619315,0.005500992,0.005523978
450,0.005561032,0.0054464,0.005466146
451,0.005516784,0.005403363,0.005423886
452,0.005496504,0.005381574,0.005401183
453,0.00548691,0.005369627,0.005387537
454,0.005486328,0.005369665,0.005385446
455,0.005490178,0.005372351,0.005388441
456,0.005498479,0.005377728,0.005396537
457,0.005517707,0.005396307,0.005415148
458,0.00554128,0.00542004,0.005437769
459,0.005572558,0.005452772,0.005467404
460,0.005600712,0.005481572,0.005494769
461,0.00562714,0.005508294,0.005520241
462,0.005652563,0.005533975,0.005539911
463,0.005678239,0.005559366,0.005562673
464,0.005704457,0.005584761,0.005588758
465,0.005724048,0.005603321,0.005610832
466,0.005741146,0.005619646,0.005628676
467,0.005753968,0.005632357,0.005637404
468,0.00575918,0.005635375,0.005637373
469,0.005760026,0.005633598,0.005632858
