Var1,Var2_1,Var2_2,Var2_3,Var2_4
350,0.001961783,0.001974677,0.001817138,0.001823997
351,0.001982597,0.001979389,0.001819607,0.001822111
352,0.001984784,0.001979119,0.00182318,0.001821595
353,0.001985511,0.001976315,0.001824891,0.001818985
354,0.001987858,0.00196544,0.001819445,0.00180759
355,0.001987258,0.001966068,0.001827396,0.001816101
356,0.001984643,0.001974066,0.001844299,0.001837799
357,0.002003931,0.001979184,0.001847683,0.001858563
358,0.00201812,0.001985765,0.001851082,0.001880226
359,0.002018443,0.001995032,0.001854214,0.001900891
360,0.002017628,0.002007656,0.0018781,0.001915863
361,0.002016081,0.00201912,0.001906407,0.001925925
362,0.002011426,0.002011164,0.001906413,0.001915648
363,0.002015577,0.002009115,0.001908649,0.001906863
364,0.00203162,0.002014978,0.001913894,0.001899958
365,0.002039135,0.002035665,0.001916183,0.001900526
366,0.002046512,0.002056769,0.001920314,0.001905816
367,0.002061949,0.002071419,0.001934264,0.001922837
368,0.002080859,0.002082592,0.001938581,0.001943892
369,0.002103402,0.002090586,0.001933682,0.001969174
370,0.002120169,0.002109178,0.001948655,0.001986402
371,0.002136181,0.002131356,0.001969112,0.002006361
372,0.00215236,0.00215995,0.001998018,0.00203553
373,0.002173014,0.002182184,0.002025703,0.002060341
374,0.002196381,0.002202233,0.002053761,0.002083993
375,0.002229014,0.002212588,0.00207518,0.002097842
376,0.002254072,0.002226007,0.002095048,0.002114389
377,0.002268464,0.002243181,0.002112372,0.002134109
378,0.002284862,0.002264728,0.002130825,0.002152171
379,0.002302754,0.002285902,0.00214912,0.002171241
380,0.00232654,0.002303844,0.002167683,0.002197861
381,0.002349842,0.002330266,0.002185401,0.00222491
382,0.002374095,0.002367884,0.002203308,0.002254258
383,0.002418282,0.002413648,0.00223982,0.002286527
384,0.002460455,0.002452173,0.002275176,0.00232162
385,0.002483226,0.002462796,0.002294967,0.002355323
386,0.002504881,0.002487214,0.002320614,0.002376966
387,0.002525697,0.002516639,0.002348089,0.002393406
388,0.00254013,0.002526613,0.002375723,0.002419575
389,0.002551937,0.002540073,0.002398257,0.002440211
390,0.002560125,0.00255804,0.002413732,0.002453228
391,0.002580963,0.00258378,0.002430733,0.002469866
392,0.00260802,0.002611272,0.002449569,0.002491581
393,0.002650884,0.002640047,0.00247587,0.002532987
394,0.002675363,0.002667102,0.002507388,0.002559032
395,0.002684439,0.002689908,0.002538875,0.002571452
396,0.00270598,0.002709557,0.002553881,0.002586605
397,0.002724292,0.002720398,0.002570079,0.002600547
398,0.002735217,0.002713063,0.002587853,0.002611348
399,0.002740169,0.002713145,0.002594339,0.002619667
400,0.002742915,0.002716771,0.002596076,0.002626143
401,0.002745549,0.00272812,0.002592781,0.002630316
402,0.002749455,0.00273708,0.002593471,0.002634636
403,0.00275455,0.002744218,0.002597643,0.002639206
404,0.002762612,0.00275161,0.002604734,0.002647868
405,0.002770787,0.002758331,0.00261293,0.002655303
406,0.002778524,0.002763452,0.002623029,0.002658877
407,0.002785759,0.002768825,0.002629281,0.002665052
408,0.00279258,0.002774309,0.00263291,0.002672867
409,0.002797435,0.002784809,0.002640181,0.002678214
410,0.002802201,0.002794232,0.00264558,0.00268223
411,0.002806831,0.002802073,0.002648247,0.002684303
412,0.00281331,0.002805282,0.002654173,0.002692641
413,0.00282088,0.002807901,0.002662056,0.002702075
414,0.002831364,0.002812675,0.002674946,0.00271051
415,0.002842528,0.002820255,0.002685603,0.002720699
