Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5
350,0.005461917,0.005696539,0.005536249,0.005593666,0.005540602
351,0.005582839,0.005792289,0.005657032,0.005731561,0.00563141
352,0.005694438,0.005897727,0.005748179,0.005815259,0.005741603
353,0.005800578,0.005996786,0.00583651,0.005891339,0.005842449
354,0.005904305,0.006080877,0.005937299,0.005969666,0.005915571
355,0.005966852,0.006172607,0.006028941,0.006028629,0.005983688
356,0.006004558,0.006271834,0.006117861,0.006076693,0.00605063
357,0.00606213,0.006372479,0.006185645,0.006175498,0.006150373
358,0.006117533,0.006466944,0.006246946,0.006259915,0.006246314
359,0.006163522,0.006538161,0.00628748,0.00630159,0.00632252
360,0.006201389,0.006596566,0.006343523,0.006346413,0.006372882
361,0.006238113,0.006650452,0.006404537,0.00639211,0.006412281
362,0.00629551,0.006715919,0.006462764,0.0064394,0.006451512
363,0.006343379,0.006772781,0.006519226,0.006482415,0.006494816
364,0.006378713,0.0068185,0.006573777,0.006519961,0.006543928
365,0.006414467,0.006875566,0.006621562,0.006557596,0.006600636
366,0.006453832,0.006935909,0.006667234,0.006601183,0.006656742
367,0.006509572,0.00700657,0.00671704,0.006671629,0.006712985
368,0.006567656,0.007071687,0.006770563,0.006741614,0.006768796
369,0.006628572,0.007132095,0.006828214,0.006811989,0.006824797
370,0.006673589,0.00719815,0.006883782,0.006865194,0.006877429
371,0.006727004,0.007262651,0.006940959,0.006921203,0.006929699
372,0.006805568,0.007323556,0.007003825,0.00698962,0.00698321
373,0.006871015,0.007379776,0.007068389,0.007050306,0.007040265
374,0.006931843,0.00743468,0.007135191,0.007108742,0.007100153
375,0.006941393,0.007481863,0.007145038,0.007135582,0.007121187
376,0.00694641,0.007515534,0.007153261,0.007151068,0.007136671
377,0.006945963,0.00753122,0.007159712,0.007151716,0.007144975
378,0.006948926,0.007540907,0.007170339,0.007158254,0.007146726
379,0.006963032,0.007559528,0.007189649,0.007167205,0.007155172
380,0.007017282,0.007618825,0.007239751,0.007179216,0.007195141
381,0.007077611,0.007676732,0.00729208,0.007221451,0.007241234
382,0.007147294,0.007735419,0.007349162,0.007298902,0.007296059
383,0.007219647,0.007824845,0.007435014,0.007379527,0.007371371
384,0.007275556,0.007895862,0.007502838,0.007442908,0.007435744
385,0.007283908,0.007903509,0.007508309,0.007454409,0.007457877
386,0.007291648,0.007916219,0.007522723,0.007473341,0.007478296
387,0.007299395,0.007930993,0.007540703,0.007495163,0.007497901
388,0.007305189,0.007931533,0.007552839,0.007508129,0.007502403
389,0.007300099,0.007938822,0.007553033,0.007506904,0.007499649
390,0.00728089,0.007955412,0.007537586,0.007487067,0.007487534
391,0.007289538,0.007966973,0.007534551,0.007474373,0.007487823
392,0.007313071,0.007986309,0.007546577,0.007476481,0.007500905
393,0.007373779,0.00804512,0.007611724,0.007535262,0.007557377
394,0.007396305,0.008062157,0.007634501,0.007561622,0.007579251
395,0.007392385,0.00805081,0.007627427,0.007564664,0.007576612
396,0.00737663,0.008071599,0.007624622,0.007565455,0.007575942
397,0.007348281,0.008071736,0.007608643,0.007552281,0.007560981
398,0.007297657,0.00803187,0.007568308,0.007513048,0.007519302
399,0.007235315,0.007969969,0.007512146,0.007462089,0.007461754
400,0.007181462,0.007912677,0.007460203,0.007415768,0.007408373
401,0.007150323,0.007875728,0.007415987,0.007373885,0.007362255
402,0.007126021,0.007840469,0.007379325,0.007337086,0.00732746
403,0.00710578,0.007804293,0.007346993,0.007302387,0.007300471
404,0.007081616,0.007774941,0.007322015,0.007272422,0.007275099
405,0.007057437,0.007750624,0.007298621,0.007245576,0.007252101
406,0.007033917,0.007736218,0.007276836,0.007224554,0.007234033
407,0.007006267,0.007717065,0.007253386,0.007198479,0.007211969
408,0.00697672,0.007695377,0.007229521,0.007169806,0.007187898
409,0.006946641,0.007668704,0.007200498,0.007137199,0.007159054
410,0.006919891,0.007647628,0.007178139,0.007109714,0.007132412
411,0.006898093,0.007634849,0.007165588,0.007089801,0.00710908
412,0.006874163,0.007615145,0.00713209,0.007066665,0.007079836
413,0.006851175,0.007595595,0.007100036,0.007045248,0.007052692
414,0.006830193,0.007580288,0.007089333,0.00703032,0.007035732
415,0.006814806,0.007566602,0.007079606,0.007015139,0.007023356
416,0.006803138,0.007553996,0.007070548,0.006999839,0.007014014
417,0.006790941,0.007542602,0.007059537,0.006991399,0.006999108
418,0.006779184,0.00753002,0.0070473,0.006983804,0.00698745
419,0.006768212,0.007515794,0.007033319,0.006977595,0.006980818
420,0.006754961,0.007496969,0.007013219,0.006961096,0.006962615
421,0.006741046,0.007477774,0.006992344,0.006942466,0.00694159
422,0.006723474,0.007462958,0.006975105,0.006924897,0.006918298
423,0.006704134,0.007446391,0.006956351,0.006907958,0.006896904
424,0.006682935,0.007427999,0.006936004,0.006891589,0.00687735
425,0.006660902,0.007407118,0.006917272,0.00687108,0.006854925
426,0.006645292,0.007387943,0.00690069,0.006850423,0.006835363
427,0.006645109,0.007373479,0.006888727,0.006830422,0.006823303
428,0.006638899,0.007370006,0.006878981,0.006819891,0.0068155
429,0.006630982,0.007371189,0.006871111,0.006814142,0.006810511
430,0.006639422,0.007374957,0.006878227,0.00682038,0.006819823
431,0.006625301,0.007361218,0.006867199,0.00681134,0.00680987
432,0.006591702,0.007332625,0.006840431,0.006789302,0.006782833
433,0.006557199,0.007301017,0.006804805,0.006760343,0.006750849
434,0.006526468,0.007270874,0.006772735,0.006733526,0.006722434
435,0.006500395,0.007241335,0.006746875,0.006709796,0.006699745
436,0.006467002,0.007208721,0.006715631,0.006679138,0.006668933
437,0.006433173,0.007177409,0.006684347,0.006647988,0.006637088
438,0.006411948,0.007160313,0.006663471,0.006628752,0.006616946
439,0.006387202,0.007140215,0.006639967,0.006604699,0.006595511
440,0.006359916,0.007117888,0.006614692,0.006576734,0.006573551
441,0.00632328,0.007084726,0.006580323,0.006544124,0.006540244
442,0.006287755,0.007052685,0.00654794,0.006512448,0.006507941
443,0.006253826,0.007023146,0.006519426,0.006481278,0.006477982
444,0.006227339,0.006997337,0.006493392,0.006454138,0.006451342
445,0.006203782,0.00697308,0.00646878,0.006429255,0.00642658
446,0.006179467,0.006949552,0.006448193,0.006410158,0.00640682
447,0.00614791,0.006920083,0.006419544,0.006383431,0.006378917
448,0.006110245,0.006885634,0.006383869,0.006350071,0.006343871
449,0.00607504,0.006852843,0.006347385,0.006315883,0.006311848
450,0.006044466,0.00682343,0.006316071,0.006285701,0.006282239
451,0.006021837,0.00679963,0.006294824,0.006263009,0.006255712
452,0.006017773,0.006793319,0.006288996,0.006257532,0.006247482
453,0.006022012,0.00679531,0.00629069,0.00625991,0.006247879
454,0.006033366,0.006808203,0.006304207,0.006270247,0.006259138
455,0.006045964,0.00682214,0.006317828,0.006282491,0.006270601
456,0.006059845,0.006837052,0.00633152,0.006296627,0.006282247
457,0.006078619,0.006857213,0.006349994,0.006314863,0.006299448
458,0.006099439,0.006879351,0.006371369,0.006335384,0.006318464
459,0.006123974,0.006905094,0.006398534,0.006360423,0.006340537
460,0.006148257,0.006930943,0.006423173,0.006384834,0.00636318
461,0.006171542,0.006955543,0.006445992,0.006407866,0.006385391
462,0.006188214,0.006970699,0.006463876,0.006422626,0.006403232
463,0.006207458,0.006986939,0.006481883,0.006438887,0.006420088
464,0.006229318,0.007004351,0.006500119,0.006456707,0.006436075
465,0.006246817,0.007019713,0.006519321,0.006476697,0.006448915
466,0.006260593,0.007033129,0.006534845,0.006493221,0.006459623
467,0.006266816,0.007042517,0.006541405,0.006500967,0.006466179
468,0.006268191,0.007045843,0.006543271,0.006504126,0.006466439
469,0.006267045,0.007046091,0.006542951,0.00650471,0.00646391
470,0.006262125,0.007042421,0.006541324,0.006500059,0.006460817
471,0.006252678,0.007033817,0.006533558,0.006490187,0.006452569
472,0.006239056,0.007020553,0.006519944,0.006475418,0.006439439
473,0.006218649,0.006999747,0.006503155,0.006454895,0.006420716
474,0.006197514,0.006979578,0.00648342,0.006433068,0.006401521
475,0.006174907,0.006960033,0.006458996,0.006408945,0.006381311
476,0.006151802,0.006937421,0.006437439,0.00638781,0.006360835
477,0.006128096,0.006914064,0.00641647,0.006367298,0.006340579
478,0.006102682,0.006890957,0.006395157,0.006346468,0.006321603
479,0.006081528,0.006870611,0.006374457,0.006327224,0.006303884
480,0.006063214,0.006852106,0.006354202,0.006309059,0.006287022
481,0.006042842,0.00682966,0.006332374,0.006289873,0.006266697
482,0.006021693,0.006805883,0.006310271,0.006269042,0.006244339
483,0.005999027,0.006779786,0.006287422,0.006245421,0.006218607
484,0.005979064,0.006754999,0.006265923,0.006223198,0.006196147
485,0.005959432,0.006730914,0.006245222,0.006201266,0.006174393
